template,action,template_skeleton,prompt_preview,target_preview,variant_note,source_prompt_preview,source_target_preview
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> FFT5731, <WIND> 240 at 10, <RWY> 23L, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> FFT5731, <DIST> 15 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, FFT5731, 15 miles out. Structured context: - callsign: FFT5731 - runway: 23L - taxi_route: Bravo, Foxtrot -","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> FFT5731, <WIND> 240 at 10, <RWY> 23L, <DIST> 15mi [Pilot]:",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: FFT5731, wind 240 at 10, Runway 23L cleared to land."
approach_descend_expect_ils,descend,"(ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL8939, <ALT> 5000ft, <RWY> 05L, <DIST> 15.8NM [Pilot]: Greensboro Approach, <F#> UAL8939, level 6000 feet, inbound for landing.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Approach, UAL8939, level 6000 feet, inbound for landing. Structured context: - callsign: UAL8939 - runway: 05L - t","TEMPLATE_ID: approach_descend_expect_ils TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL8939, <ALT> 5000ft, <RWY> 05L",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain","[ATC]: UAL8939, radar contact, descend and maintain 5000, expect ILS Runway 05L."
approach_descend_expect_ils,descend,"(ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> N4513N, <ALT> 3000ft, <RWY> 32, <DIST> 18.8NM [Pilot]: Greensboro Approach, <F#> N4513N, level 6000 feet, inbound for landing.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Approach, N4513N, level 6000 feet, inbound for landing. Structured context: - callsign: N4513N - runway: 32 - taxi","TEMPLATE_ID: approach_descend_expect_ils TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> N4513N, <ALT> 3000ft, <RWY> 32, ",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain","[ATC]: N4513N, radar contact, descend and maintain 3000, expect ILS Runway 32."
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> DAL3408, <WIND> 320 at 15, <RWY> 23R, <DIST> 14mi [Pilot]: Greensboro Tower, <F#> DAL3408, <DIST> 14 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, DAL3408, 14 miles out. Structured context: - callsign: DAL3408 - runway: 23R - taxi_route: Charlie, Golf, J","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> DAL3408, <WIND> 320 at 15, <RWY> 23R, <DIST> 14mi [Pilot]:",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: DAL3408, wind 320 at 15, Runway 23R cleared to land."
ground_taxi_hold_short,hold short,"(ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> UAL776, <GATE> C3, <RWY> 05L, <TXWY> Lima, Bravo, <HSRWY> 23R [Pilot]: Greensboro Ground, <F#> UAL776, at Gate <GATE> C3, request taxi to Runway <RWY> 05L.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, UAL776, at Gate C3, request taxi to Runway 05L. Structured context: - callsign: UAL776 - runway: 05L - tax","TEMPLATE_ID: ground_taxi_hold_short TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> UAL776, <GATE> C3, <RWY> 05L, <TXWY",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [","[ATC]: UAL776, taxi to Runway 05L via Lima, Bravo, hold short of Runway 23R."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N7734A, <TXWY> Lima, Golf, <GATE> A1 [Pilot]: Greensboro Ground, <F#> N7734A, clear of active, request taxi to Gate <GATE> A1.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, N7734A, clear of active, request taxi to Gate A1. Structured context: - callsign: N7734A - runway: 14 - ta","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N7734A, <TXWY> Lima, Golf, <GATE> A1 [Pilot]: Greensboro Ground, <F#> N7734A, cl",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: N7734A, taxi to Gate A1 via Lima, Golf."
approach_descend_expect_ils,descend,"(ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> DAL4960, <ALT> 5000ft, <RWY> 05L, <DIST> 14.5NM [Pilot]: Greensboro Approach, <F#> DAL4960, level 6000 feet, inbound for landing.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Approach, DAL4960, level 6000 feet, inbound for landing. Structured context: - callsign: DAL4960 - runway: 05L - t","TEMPLATE_ID: approach_descend_expect_ils TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> DAL4960, <ALT> 5000ft, <RWY> 05L",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain","[ATC]: DAL4960, radar contact, descend and maintain 5000, expect ILS Runway 05L."
ground_taxi_hold_short,hold short,"(ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> N7461M, <GATE> A3, <RWY> 14, <TXWY> Echo, Alpha, <HSRWY> 32 [Pilot]: Greensboro Ground, <F#> N7461M, at Gate <GATE> A3, request taxi to Runway <RWY> 14.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, N7461M, at Gate A3, request taxi to Runway 14. Structured context: - callsign: N7461M - runway: 14 - taxi_","TEMPLATE_ID: ground_taxi_hold_short TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> N7461M, <GATE> A3, <RWY> 14, <TXWY>",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [","[ATC]: N7461M, taxi to Runway 14 via Echo, Alpha, hold short of Runway 32."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N7803V, <TXWY> Kilo, Delta, <GATE> B6 [Pilot]: Greensboro Ground, <F#> N7803V, clear of active, request taxi to Gate <GATE> B6.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, N7803V, clear of active, request taxi to Gate B6. Structured context: - callsign: N7803V - runway: 32 - ta","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N7803V, <TXWY> Kilo, Delta, <GATE> B6 [Pilot]: Greensboro Ground, <F#> N7803V, c",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: N7803V, taxi to Gate B6 via Kilo, Delta."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> JBU8861, <TXWY> Echo, Lima, Foxtrot, <GATE> A1 [Pilot]: Greensboro Ground, <F#> JBU8861, clear of active, request taxi to Gate <GATE> A1.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, JBU8861, clear of active, request taxi to Gate A1. Structured context: - callsign: JBU8861 - runway: 05L -","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> JBU8861, <TXWY> Echo, Lima, Foxtrot, <GATE> A1 [Pilot]: Greensboro Ground, <F#> ",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: JBU8861, taxi to Gate A1 via Echo, Lima, Foxtrot."
